Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Baixa Grande;20060;58,43;5716;223;63,56;29,15;81,25;61,35;22,1;53,28;58,5;Médio Baixo;58,6;78,8;45,2;54,44
Barra;49325;54,49;11471;184;69,04;15,96;78,75;50,41;26,43;48,27;55,7;Baixo;60,8;78,2;56;59,97
Barra da Estiva;21187;50,89;5617;247;74,04;44,19;82,18;63;23,22;61,15;57,5;Médio Baixo;55,8;76,2;48,9;54,56
Barra do Choça;34788;35,59;9207;231;60,46;25,08;81,9;66,68;18,11;53,96;55,1;Baixo;58,1;76,1;53,1;44,52
Belmonte;21798;47,61;6360;274;65,42;51,81;81,16;60,99;28,57;52,34;59,8;Médio Alto;57,2;76,5;52,5;49,79
Boquira;22037;66,58;5794;227;62,02;1,1;84,01;60,21;25,58;47,5;60,3;Médio Alto;55,9;76,5;50,3;53,57
Cachoeira;32026;48,83;9309;322;75,87;44,53;84,76;62,02;44,61;55,09;64,7;Alto;63,1;80,1;48,4;57,29
Caculé;22236;40,15;6330;333;68,91;15,31;86,37;69,9;29,04;59,29;63,7;Alto;60,4;77,6;49,6;48,35
Caetité;47515;40,13;12789;332;68,99;31,25;84,92;66,17;29,07;58,18;62,5;Alto;65,7;78;54,6;59,93
Camacan;31472;21,57;9067;299;68,07;64,67;80,85;58,45;28,08;45,26;58,1;Médio Baixo;57,6;76,3;53,6;62,44
Camamu;35180;55,61;9421;229;64,64;31,39;79,11;61,6;27,56;55,05;56,5;Baixo;56,3;73,8;56,5;54,84
Campo Alegre de Lourdes;28090;71,07;7613;177;60,86;0;81,28;53,13;18,8;44,23;55,7;Baixo;56,4;76,6;51,3;60,78
Canarana;24067;52,4;6951;222;73,19;1,24;81,32;69,79;25,16;63,56;58,7;Médio Baixo;58,3;77;50,5;48,88
Canavieiras;32336;19,89;9720;313;71,5;49,59;82,82;63,92;29,59;50,44;59;Médio Alto;62;75,2;51,4;51,97
Cândido Sales;27918;30,92;7881;247;61,95;7,28;83;65,29;24,11;52,12;60,1;Médio Alto;59,1;77,4;50,4;51,08
Cansanção;32908;66,51;8973;189;59,44;19,42;81,38;58,24;20,37;53,99;55,7;Baixo;57,5;72,9;56,1;57,33
Capim Grosso;26577;18,12;8354;303;69,61;10,85;82,73;69,86;29,15;61,84;62,1;Alto;61,9;77,8;50,2;54,93
Caravelas;21414;47,19;6116;341;64,65;21,14;81,01;61,2;29,66;52,13;61,6;Alto;56,9;76,4;49,8;58,73
Carinhanha;28380;55,66;7294;198;64,55;5,32;80,86;58,44;28,8;51,77;57,6;Médio Baixo;57,2;77,9;50,3;51,72
Castro Alves;25408;38,26;7196;265;66,22;53,56;84,45;60,72;30,85;52,02;61,3;Médio Alto;58,6;76,6;51,6;54,94
Cícero Dantas;32300;45,12;10161;280;49,95;40,01;85,03;66,15;22,64;52,98;58,5;Médio Baixo;58,7;80,9;50,1;53,91
Coaraci;20964;8,75;6481;300;64,71;77,81;83,77;60,46;32,67;42,15;61,3;Médio Alto;55,2;77,9;50,3;56,38
Conceição da Feira;20391;35,57;5661;282;76,27;5,46;83,49;57,68;42,16;53,93;63,4;Alto;57,7;74,6;51;57,38
Conceição do Jacuípe;30123;21,86;8892;361;81,32;4,68;84,13;65,67;44,46;59,74;66,3;Alto;59,5;75,4;54,5;48,47
Conde;23620;48,65;6098;209;67,77;7,71;79,45;55,27;25,94;44,07;56;Baixo;58,9;78,7;48;63,63
