Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
América Dourada;15961;5128;4325;179;6054;2518;3726;815;4716;41,65;48,63;77,44;6034;19,86;6774;38,93;56,10;55,50;74,00;46,50;50,49
Andaraí;13960;6187;3747;203;5078;2923;2984;1080;4462;45,82;45,45;78,77;5440;28,02;5825;37,55;55,50;57,10;78,90;42,40;60,17
Andorinha;14414;8206;4621;265;5534;6223;971;2030;6090;36,34;47,83;75,81;6456;16,80;5749;41,71;58,80;53,90;76,20;47,50;55,88
Angical;14073;7542;3792;253;5074;4700;2744;1697;5435;44,62;42,48;73,30;5803;23,22;5985;34,62;62,50;53,00;76,40;49,20;56,48
Anguera;10242;5916;2521;250;3652;3674;2043;1581;3413;41,41;48,15;74,74;3954;21,12;4796;41,87;58,90;55,20;75,40;44,50;48,68
Antas;17072;10713;4624;252;7564;1793;1781;518;5555;43,77;45,32;72,66;6344;20,32;8412;38,55;59,20;56,70;77,40;47,70;56,20
Antônio Cardoso;11554;8329;2890;229;4928;4476;2250;1792;5913;38,47;48,97;76,71;6188;23,80;3444;35,16;56,10;56,30;75,10;42,10;45,83
Antônio Gonçalves;11015;5232;3084;241;3132;1536;3452;669;4445;35,38;49,32;72,49;4741;14,26;4371;41,71;59,80;54,40;72,00;47,60;51,57
Aporá;17731;9225;5172;201;7016;2279;3862;700;7439;42,56;48,07;78,94;7730;29,25;6811;42,34;54,80;56,80;76,10;47,00;56,62
Araças;11561;5754;3121;229;3778;2665;3295;1191;3914;48,19;38,71;71,33;4496;23,58;4926;29,35;57,00;56,20;71,00;45,20;54,37
Aracatu;13743;9806;3650;267;6162;9544;1391;3179;6724;29,72;52,90;85,89;7032;15,45;4667;48,77;58,10;52,70;77,90;47,10;44,73
Aramari;10036;4911;2675;276;2946;2636;3064;1242;3031;47,95;36,78;69,52;3681;19,68;4808;30,41;58,80;54,00;74,40;46,20;52,53
Arataca;10392;4804;3029;256;4396;2831;2544;1352;3837;32,92;53,71;78,50;4094;7,71;4106;41,94;55,90;55,00;74,00;43,50;47,06
